name,stars
svenfuchs/i18n,745
iberianpig/fusuma,742
ErwinM/acts_as_tenant,736
googleapis/google-cloud-ruby,732
floere/phony,729
carolcodes/youtube-br-desenvolvimento,727
net-ssh/net-ssh,720
zilkey/active_hash,717
librariesio/libraries.io,712
rodjek/puppet-lint,710
TheOdinProject/theodinproject,709
ruby/www.ruby-lang.org,707
zendesk/ruby-kafka,706
composite-primary-keys/composite_primary_keys,701
consul/consul,700
rubyworks/facets,697
flavorjones/loofah,695
puppetlabs/r10k,694
onetimesecret/onetimesecret,693
NARKOZ/gitlab,693
rafaelfranca/simple_form-bootstrap,692
rebelidealist/stripe-ruby-mock,690
scelis/twine,687
mhenrixon/sidekiq-unique-jobs,686
gocardless/hutch,682
SciRuby/daru,679
mlandauer/cuttlefish,672
timdorr/tesla-api,664
github/opensourcefriday,663
slack-ruby/slack-ruby-client,658
palkan/test-prof,657
github/graphql-client,655
JacobEvelyn/friends,651
coreinfrastructure/best-practices-badge,647
rubysec/ruby-advisory-db,647
Shopify/shopify_theme,646
rails/globalid,646
lyptt/struct,642
nahi/httpclient,641
r888888888/danbooru,639
integrallis/stripe_event,636
ngauthier/tubesock,636
rails/sprockets,634
Shopify/semian,634
renderedtext/render_async,632
Sorcery/sorcery,631
atmos/heaven,627
travis-ci/travis-cookbooks,622
benbalter/jekyll-auth,620
coinbase/terraform-landscape,619
Shopify/kubernetes-deploy,615
onelogin/ruby-saml,614
square/shuttle,613
brainopia/sidekiq-limit_fetch,611
asciidoctor/asciidoctor-pdf,611
cookpad/chanko,611
markdownlint/markdownlint,606
cheezy/page-object,606
Homebrew/homebrew-cask-versions,605
chef/ohai,603
RailsEventStore/rails_event_store,592
newcontext-oss/kitchen-terraform,591
ruby-grape/grape-entity,589
Mixd/wp-deploy,588
heroku/heroku-buildpack-ruby,583
projectblacklight/blacklight,580
codevise/pageflow,578
wearefine/fae,576
david942j/one_gadget,573
oscardelben/firebase-ruby,572
chef/vagrant-omnibus,569
adhearsion/adhearsion,561
boxcutter/windows,559
davidcelis/api-pagination,555
restforce/restforce,554
square/shift,551
jugend/amazon-ecs,550
AlchemyCMS/alchemy_cms,549
stefanpenner/country_select,547
bundler/gemstash,546
jekyll/jekyll-sitemap,544
paypal/PayPal-Ruby-SDK,543
bwillis/versioncake,539
chef/chef-provisioning,538
tomafro/recap,530
getsentry/raven-ruby,528
